gene_name	rep	condition	total	sup	pel
ENSG00000000419.12	1	1	4837	1515	718
ENSG00000000457.13	1	1	2186	1784	1860
ENSG00000000460.16	1	1	3929	2912	4751
ENSG00000000938.12	1	1	11480	32484	58106
ENSG00000001036.13	1	1	2043	2059	727
ENSG00000001084.12	1	1	1768	1246	934
ENSG00000001167.14	1	1	1798	2842	1063
ENSG00000001460.17	1	1	75	110	43
ENSG00000001461.16	1	1	1015	1823	523
ENSG00000001497.16	1	1	3834	9398	7096
ENSG00000001561.6	1	1	2578	1063	645
ENSG00000001626.15	1	1	479	272	208
ENSG00000001629.9	1	1	15738	9404	10945
ENSG00000001630.16	1	1	3801.89	4461.53	427.99
ENSG00000001631.15	1	1	6451.06	2436.56	2173.09
ENSG00000002016.17	1	1	894	1207	2698
ENSG00000002330.13	1	1	506	2694	640
ENSG00000002549.12	1	1	14982	16986	5421
ENSG00000002586.19	1	1	1200	5186	1380
ENSG00000002587.9	1	1	136	341	229
ENSG00000002746.14	1	1	35	61	109
ENSG00000002822.15	1	1	767	3415	1497
ENSG00000002834.17	1	1	5718	17872	4542
ENSG00000002919.14	1	1	6777	16440	5239
ENSG00000003056.7	1	1	13939	15478	6370
ENSG00000003096.14	1	1	4629	4372	1232
ENSG00000003147.18	1	1	1144	1585	504
ENSG00000003249.13	1	1	210	1082	704
ENSG00000003393.14	1	1	2082	2030	1729
ENSG00000003400.14	1	1	1984	2476	1027
ENSG00000003402.19	1	1	15654.1	17908	14143
ENSG00000003509.15	1	1	3345	2598	2734
ENSG00000003756.16	1	1	24137	19398.89	82002.69
ENSG00000003989.17	1	1	8	10	9
ENSG00000004059.10	1	1	3288.62	17363.55	5350.97
ENSG00000004139.13	1	1	359	787	1496.79
ENSG00000004142.11	1	1	4678	13646	3502
ENSG00000004455.16	1	1	30730.96	40579.83	13667.49
ENSG00000004468.12	1	1	6855	7163	6436
ENSG00000004478.7	1	1	4094	8429	3462
ENSG00000004487.16	1	1	10105	13811	5877
ENSG00000004534.14	1	1	12719	8196.11	24463.3
ENSG00000004660.14	1	1	103	324	446
ENSG00000004700.15	1	1	9688	2780	1559
ENSG00000004766.16	1	1	3349	1102	2362
ENSG00000004776.12	1	1	6	14	23
ENSG00000004777.18	1	1	90	291	5055
ENSG00000004779.9	1	1	7911	6096	2007
ENSG00000004838.13	1	1	23	37	317
ENSG00000004864.13	1	1	3047	2467	1523
ENSG00000004866.20	1	1	5319.04	6509.47	3409
ENSG00000004897.11	1	1	15366.98	7539	4379
ENSG00000004961.14	1	1	2644	1877	437
ENSG00000004975.11	1	1	146	847	1184
ENSG00000005007.12	1	1	1047	5470	12748
ENSG00000005020.12	1	1	3734	2098	601
ENSG00000005022.5	1	1	12751	61493	10669
ENSG00000005059.15	1	1	5137	3595	1443
ENSG00000005075.15	1	1	1271.98	4433	1173.03
ENSG00000005100.12	1	1	2566	5560	1496
ENSG00000005102.12	1	1	734	1340	410
ENSG00000005156.11	1	1	3907	6750	6099
ENSG00000005175.9	1	1	3876	1021	516
ENSG00000005187.11	1	1	1938	1446	624
ENSG00000005189.19	1	1	870	999	886
ENSG00000005194.14	1	1	3012	6365.99	1663
ENSG00000005206.16	1	1	449	1516	10867
ENSG00000005238.19	1	1	441	1579	1771
ENSG00000005302.18	1	1	58515	54775	153930
ENSG00000005339.14	1	1	580	3618	2442
ENSG00000005379.16	1	1	1187	2345	14496
ENSG00000005381.7	1	1	43	102	19
ENSG00000005436.13	1	1	2826	938	734
ENSG00000005448.16	1	1	2660	13566	7860
ENSG00000005469.11	1	1	1975	821	923
ENSG00000005471.17	1	1	541.43	409	1006
ENSG00000005483.20	1	1	1927	5856	4093
