gene_name	sup_latent	pel_latent	pvalue
1	3.1731380201782127	4.779947494293772	1
2	4.241007947598195	4.056603029664912	0.158
3	6.471213269841815	6.073999409413711	0.0185
4	3.2791379975569823	4.940729166477794	1
5	4.974607464602119	6.182087952000591	1
6	2.931913969493648	4.72640352797	1
7	4.434874191900773	4.486831580462198	0.609
8	4.881348615621682	4.7539138156426715	0.2585
9	4.9394951421595055	4.617913743052141	0.0435
10	6.351052327374292	7.265295265716697	1
11	6.864874996868826	7.895339733803342	1
12	6.172140542215515	6.288610537729159	0.745
13	1.8632342569373936	1.022427605801602	0
14	4.712561791352199	6.309138556895471	1
15	0.6289659572005486	0.3853520137442843	0.1845
16	6.4702523143737665	6.331491334188099	0.208
17	3.6316470057654637	4.098932038539434	0.995
18	5.120060846479971	5.006222464859544	0.2585
19	3.835586655584196	5.476615652907429	1
20	5.415318831893963	5.662734470307077	0.923
21	6.78900731993519	6.728782399011189	0.363
22	5.771544842337735	5.703025324123663	0.354
23	4.197141350127352	5.692352496451094	1
24	5.788993878773923	5.089138373767057	0
25	3.848753589517914	5.356573964458519	1
26	4.126576874919899	3.7880098445358996	0.0425
27	5.568871720441167	5.878148846796631	0.9515
28	4.416398147713327	4.54545106687006	0.756
29	5.032137364363013	5.1603780865220354	0.734
30	3.334149296117844	4.25957800603205	1
31	5.238315504648384	6.1481419809452795	1
32	5.827478864303933	6.277211246980624	0.9965
33	6.077064749780989	6.267694923415487	0.8625
34	3.2720196445328025	3.841332013080722	0.999
35	6.180546795059209	6.444356290707931	0.9185
36	4.885143018278091	5.789533663315988	1
37	4.551554988139693	6.125575999718452	1
38	6.087094654267646	5.953613408119169	0.2285
39	6.870685625125458	8.383051068960842	1
40	2.843212878017865	3.7287997526315353	1
41	2.858305553312388	4.407780532570926	1
42	2.8604064414163846	3.516510982484033	0.9995
43	5.198911251578002	6.637981547248643	1
44	3.5930138246899634	4.478445306547941	1
45	5.1978083345916986	6.813770202802585	1
46	3.0989418602802066	3.0042144904226733	0.307
47	6.622590358110896	8.798468469235626	1
48	4.602774510612759	6.57626092624742	1
49	3.9754290276960735	5.065307818958788	1
50	3.8476106004257398	4.813830262757374	1
51	0.372750323753142	0.8564913430587464	0.9685
52	4.659337408264998	5.531764198997658	1
53	4.327675716497877	5.523199918330448	1
54	5.9160403319670625	6.409768039755343	0.9945
55	1.8399201131221694	2.3842364605526987	0.998
