gene_name	condition_A	condition_B	p.value_frac	p.value_total	gene_count_condition_A	pel_count_condition_A	gene_count_condition_B	pel_count_condition_B
1	2	1	0.02225	1	0.3597998077433602	-0.27817373179076776	-1.3018660212230224	0.5884896356670009
1	3	1	0.00925	0.999	-0.16677119653693756	-0.4613046471186314	-1.3018660212230224	0.5884896356670009
1	3	2	0.32625	0.0405	-0.16677119653693756	-0.4613046471186314	0.3597998077433602	-0.27817373179076776
2	2	1	0.51975	0.90425	-1.987568727000405	0.10762819237141949	-2.972447544168517	0.06824595312730077
2	3	1	0.21375	0.696	-2.555353571838901	-0.710116701679648	-2.972447544168517	0.06824595312730077
2	3	2	0.16775	0.20725	-2.555353571838901	-0.710116701679648	-1.987568727000405	0.10762819237141949
3	2	1	0.6645	1	0.71533732782936	-0.18211595331465608	-0.22490773483456644	-0.32997662509528214
3	3	1	0.2555	0.543	-0.1896031329514391	-0.6137915370637583	-0.22490773483456644	-0.32997662509528214
3	3	2	0.1395	5e-4	-0.1896031329514391	-0.6137915370637583	0.71533732782936	-0.18211595331465608
4	2	1	0.06225	0.95925	6.301312699449489	0.22294893908581076	6.000072276304721	0.519579791676436
4	3	1	0.3935	0.436	5.973543319291931	0.46642925555624654	6.000072276304721	0.519579791676436
4	3	2	0.88425	0.03675	5.973543319291931	0.46642925555624654	6.301312699449489	0.22294893908581076
5	2	1	0.01075	0.01225	7.65801974893726	-0.3886886154787259	8.014927136899068	0.008735616901175997
5	3	1	0.9425	0	6.508058863894329	0.323555029979413	8.014927136899068	0.008735616901175997
5	3	2	0.99975	0	6.508058863894329	0.323555029979413	7.65801974893726	-0.3886886154787259
6	2	1	0.19325	0.044	7.6667896805640465	0.09400070112242376	7.965667510654299	0.2496291807476716
6	3	1	0.93375	0	6.715895859750285	0.5569156198974412	7.965667510654299	0.2496291807476716
6	3	2	0.989	0	6.715895859750285	0.5569156198974412	7.6667896805640465	0.09400070112242376
7	2	1	0.00475	0.59375	4.794086784967591	0.21867124366971152	4.756053771048233	0.706705183672339
7	3	1	0.7155	0	3.9802882280730705	0.8251688827911178	4.756053771048233	0.706705183672339
7	3	2	0.998	0	3.9802882280730705	0.8251688827911178	4.794086784967591	0.21867124366971152
8	2	1	0.0295	0.72525	5.073444708416957	0.30394557069910777	4.969025599754025	0.6685823896284537
8	3	1	0.944	5e-4	4.387284363462706	1.0004017198383288	4.969025599754025	0.6685823896284537
8	3	2	0.9995	0	4.387284363462706	1.0004017198383288	5.073444708416957	0.30394557069910777
9	2	1	0.00675	0.9915	3.0140471962974615	0.2096124909321087	2.5743606767358367	0.692319362490825
9	3	1	0.619	0.07675	2.2870528653930724	0.7644653170038862	2.5743606767358367	0.692319362490825
9	3	2	0.9945	0	2.2870528653930724	0.7644653170038862	3.0140471962974615	0.2096124909321087
10	2	1	0.15775	0.8795	4.505077823475119	0.40119917034834496	4.302676871679749	0.591326139795799
10	3	1	0.99125	0.00275	3.7635193397260465	1.1108735368536504	4.302676871679749	0.591326139795799
10	3	2	0.99925	0	3.7635193397260465	1.1108735368536504	4.505077823475119	0.40119917034834496
11	2	1	0.66825	0.46575	-1.0232504493752343	-0.10563572214878972	-0.9974224417330855	-0.34537806584653735
11	3	1	0.51025	0.55875	-0.930721719198083	-0.34384157692053696	-0.9974224417330855	-0.34537806584653735
11	3	2	0.33525	0.584	-0.930721719198083	-0.34384157692053696	-1.0232504493752343	-0.10563572214878972
12	2	1	0.3715	0.71475	4.98547756926483	0.18802743443907335	4.880637718418225	0.2579918040107465
12	3	1	0.81825	0.05275	4.581817441746001	0.4519378675699014	4.880637718418225	0.2579918040107465
12	3	2	0.88675	0.01575	4.581817441746001	0.4519378675699014	4.98547756926483	0.18802743443907335
13	2	1	0.11925	0.99875	-0.9902323589075235	-0.5399468717065928	-2.608165023955529	0.2798377895686552
13	3	1	0.06075	0.961	-1.5289275708281642	-0.9479126438975946	-2.608165023955529	0.2798377895686552
