gene_name	rep	condition	total	sup	pel
ENSG00000001461.16	1	1	1015	1823	523
ENSG00000004975.11	1	1	146	847	1184
ENSG00000006282.20	1	1	1082	5637	14088
ENSG00000007255.10	1	1	380	1903	687
ENSG00000010270.13	1	1	10894	7226	3471
ENSG00000010278.13	1	1	1283	1738	478
ENSG00000011143.16	1	1	581	1264	1960
ENSG00000011426.10	1	1	2886	1824	1881
ENSG00000011451.19	1	1	243	1138	2712
ENSG00000011485.14	1	1	5186	17588	11551
ENSG00000012124.16	1	1	12529	41121	21501
ENSG00000014216.15	1	1	1648	7495	9737
ENSG00000014914.20	1	1	34	55	159
ENSG00000017797.12	1	1	6490	7394	2190
ENSG00000019144.18	1	1	12	16	43
ENSG00000044090.8	1	1	1850	7810	15648
ENSG00000051128.18	1	1	189	734	832
ENSG00000060069.16	1	1	597	2028	3291
ENSG00000060558.3	1	1	835	3307	1091
ENSG00000060749.15	1	1	6267	4800	5130
ENSG00000062822.13	1	1	1100	10027	16385
ENSG00000065526.10	1	1	1339	5497	4873
ENSG00000066027.11	1	1	7273	4215	1388
ENSG00000066651.19	1	1	7322	2475	7963
ENSG00000068394.10	1	1	1315	2787	891
ENSG00000070444.14	1	1	174	560	1087
ENSG00000070814.19	1	1	1091	5122	4729
ENSG00000071889.16	1	1	235	1073	1928
ENSG00000072571.19	1	1	12792	2387	2667
ENSG00000072682.18	1	1	582	1138	864
ENSG00000073921.17	1	1	10518	7301	4066
ENSG00000075856.11	1	1	5041	8002	6833
ENSG00000077235.17	1	1	1651	8384	8666
ENSG00000078401.6	1	1	742	549	558
ENSG00000078674.17	1	1	22970	9554	10081
ENSG00000078902.15	1	1	846	4550	2531
ENSG00000079387.13	1	1	6945	6798	1963
ENSG00000079950.13	1	1	13775	5412	9727
ENSG00000080824.18	1	1	116553.75	64248.23	16483.99
ENSG00000081665.13	1	1	850	646	383
ENSG00000082781.11	1	1	395	1203	380
ENSG00000083290.19	1	1	447	471	437
ENSG00000084676.15	1	1	7099	10535	3820
ENSG00000085433.15	1	1	2105	1316	751
ENSG00000086061.15	1	1	21159	13473	3224
ENSG00000088387.18	1	1	207	321	581
ENSG00000089009.15	1	1	102108.05	93643.11	17178.35
ENSG00000089327.14	1	1	1409	10180	2254
ENSG00000089486.16	1	1	297	2733	1169
ENSG00000091127.13	1	1	2698	1785	894
ENSG00000091656.16	1	1	19	39	35
ENSG00000093010.13	1	1	560	3527	2484
ENSG00000094804.10	1	1	3783	3699	1326
ENSG00000094914.12	1	1	2200	8092	8957
ENSG00000095321.16	1	1	21	170	148
ENSG00000099797.14	1	1	514.61	3551.43	3306.39
ENSG00000100154.14	1	1	13	56	50
ENSG00000100167.20	1	1	88	85	117
ENSG00000100387.8	1	1	10869	9393	3184
ENSG00000100603.13	1	1	6887	3336	1341
ENSG00000100804.18	1	1	4155	13235	2320
ENSG00000100918.12	1	1	280	508	3981
ENSG00000100982.11	1	1	544	3455	3808
ENSG00000101181.17	1	1	971	4002	955
ENSG00000101421.3	1	1	3986	5726	909
ENSG00000101557.14	1	1	5612	3643	1594
ENSG00000101871.14	1	1	32	37	42
ENSG00000101898.6	1	1	98.5	16.53	125.36
ENSG00000103496.14	1	1	1034	2563	2671
ENSG00000103769.9	1	1	13065	11892	3001
ENSG00000104047.14	1	1	2184	623	1641
ENSG00000104093.13	1	1	3497	2993	4517
ENSG00000104738.17	1	1	27262	50953	10814
ENSG00000104856.13	1	1	833	5055	2619
ENSG00000104899.7	1	1	8	34	775
ENSG00000105722.9	1	1	997	3029	6915
ENSG00000106302.9	1	1	75	22	83
ENSG00000106346.11	1	1	971	1544	1290
ENSG00000106992.18	1	1	66.7	127.26	455.4
ENSG00000107518.17	1	1	31	10	11
